2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:04,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:05,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:05,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:05,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:05,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:05,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:05,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:05,000  : Error Frame, Return code : -1, TagID : 0
2015-12-14 15:52:05,000  : Error Frame, Return code : -1, TagID : 0
